model number,model name,time taken to optimise (in seconds),number of partitions,partition size
17,model_with_separate_variables_17,0.0012850761413574219,250,5
18,model_with_separate_variables_18,0.0012781620025634766,250,5
19,model_with_separate_variables_19,0.0012857913970947266,250,5
20,model_with_separate_variables_20,0.0013256072998046875,250,5
21,model_with_separate_variables_21,0.0013849735260009766,250,5
22,model_with_separate_variables_22,0.0014882087707519531,250,5
23,model_with_separate_variables_23,0.001463174819946289,250,5
24,model_with_separate_variables_24,0.0013527870178222656,250,5
0,model_with_pwl_costs_0,0.0007510185241699219,250,5
1,model_with_pwl_costs_1,0.0006978511810302734,250,5
2,model_with_pwl_costs_2,0.0006940364837646484,250,5
3,model_with_pwl_costs_3,0.0006949901580810547,250,5
4,model_with_pwl_costs_4,0.0006821155548095703,250,5
5,model_with_pwl_costs_5,0.000698089599609375,250,5
6,model_with_pwl_costs_6,0.0007131099700927734,250,5
7,model_with_pwl_costs_7,0.0006957054138183594,250,5
8,model_with_pwl_costs_8,0.0007188320159912109,250,5
9,model_with_pwl_costs_9,0.0006778240203857422,250,5
10,model_with_pwl_costs_10,0.0006959438323974609,250,5
11,model_with_pwl_costs_11,0.0007276535034179688,250,5
12,model_with_pwl_costs_12,0.0007469654083251953,250,5
13,model_with_pwl_costs_13,0.0006997585296630859,250,5
14,model_with_pwl_costs_14,0.0006949901580810547,250,5
15,model_with_pwl_costs_15,0.0007150173187255859,250,5
16,model_with_pwl_costs_16,0.0006971359252929688,250,5
17,model_with_pwl_costs_17,0.0007040500640869141,250,5
18,model_with_pwl_costs_18,0.0007050037384033203,250,5
19,model_with_pwl_costs_19,0.0007090568542480469,250,5
20,model_with_pwl_costs_20,0.0006883144378662109,250,5
21,model_with_pwl_costs_21,0.0006930828094482422,250,5
22,model_with_pwl_costs_22,0.0006928443908691406,250,5
23,model_with_pwl_costs_23,0.0006847381591796875,250,5
24,model_with_pwl_costs_24,0.0006961822509765625,250,5
0,model_with_separate_variables_0,0.0025398731231689453,500,5
1,model_with_separate_variables_1,0.002416849136352539,500,5
2,model_with_separate_variables_2,0.0024569034576416016,500,5
