model number,model name,time taken to build model (in seconds),number of partitions,partition size
10,model_with_pwl_costs_10,0.01595592498779297,500,5
11,model_with_pwl_costs_11,0.016067028045654297,500,5
12,model_with_pwl_costs_12,0.01684427261352539,500,5
13,model_with_pwl_costs_13,0.017066001892089844,500,5
14,model_with_pwl_costs_14,0.017251968383789062,500,5
15,model_with_pwl_costs_15,0.018272876739501953,500,5
16,model_with_pwl_costs_16,0.018211841583251953,500,5
17,model_with_pwl_costs_17,0.018491029739379883,500,5
18,model_with_pwl_costs_18,0.019376039505004883,500,5
19,model_with_pwl_costs_19,0.019423961639404297,500,5
20,model_with_pwl_costs_20,0.020256996154785156,500,5
21,model_with_pwl_costs_21,0.02077198028564453,500,5
22,model_with_pwl_costs_22,0.020997047424316406,500,5
23,model_with_pwl_costs_23,0.021360158920288086,500,5
24,model_with_pwl_costs_24,0.021405935287475586,500,5
0,model_with_separate_variables_0,0.001383066177368164,5,10
1,model_with_separate_variables_1,0.0013921260833740234,5,10
2,model_with_separate_variables_2,0.0014600753784179688,5,10
3,model_with_separate_variables_3,0.0015232563018798828,5,10
4,model_with_separate_variables_4,0.0016412734985351562,5,10
5,model_with_separate_variables_5,0.001638174057006836,5,10
6,model_with_separate_variables_6,0.0017712116241455078,5,10
7,model_with_separate_variables_7,0.0017971992492675781,5,10
8,model_with_separate_variables_8,0.001865386962890625,5,10
9,model_with_separate_variables_9,0.0020711421966552734,5,10
10,model_with_separate_variables_10,0.0021452903747558594,5,10
11,model_with_separate_variables_11,0.0021402835845947266,5,10
12,model_with_separate_variables_12,0.0022172927856445312,5,10
13,model_with_separate_variables_13,0.0022840499877929688,5,10
14,model_with_separate_variables_14,0.0023593902587890625,5,10
15,model_with_separate_variables_15,0.0028662681579589844,5,10
16,model_with_separate_variables_16,0.002585887908935547,5,10
17,model_with_separate_variables_17,0.0027780532836914062,5,10
18,model_with_separate_variables_18,0.0028390884399414062,5,10
19,model_with_separate_variables_19,0.0027692317962646484,5,10
20,model_with_separate_variables_20,0.002848386764526367,5,10
21,model_with_separate_variables_21,0.002945423126220703,5,10
22,model_with_separate_variables_22,0.0030531883239746094,5,10
23,model_with_separate_variables_23,0.0032019615173339844,5,10
24,model_with_separate_variables_24,0.003226041793823242,5,10
0,model_with_pwl_costs_0,0.001070261001586914,5,10
1,model_with_pwl_costs_1,0.0011222362518310547,5,10
2,model_with_pwl_costs_2,0.0011239051818847656,5,10
3,model_with_pwl_costs_3,0.0010993480682373047,5,10
4,model_with_pwl_costs_4,0.0011072158813476562,5,10
5,model_with_pwl_costs_5,0.001110076904296875,5,10
6,model_with_pwl_costs_6,0.0010843276977539062,5,10
7,model_with_pwl_costs_7,0.0011200904846191406,5,10
8,model_with_pwl_costs_8,0.0011560916900634766,5,10
9,model_with_pwl_costs_9,0.00115203857421875,5,10
10,model_with_pwl_costs_10,0.0011279582977294922,5,10
11,model_with_pwl_costs_11,0.0011513233184814453,5,10
12,model_with_pwl_costs_12,0.0011091232299804688,5,10
13,model_with_pwl_costs_13,0.001100301742553711,5,10
14,model_with_pwl_costs_14,0.0011050701141357422,5,10
15,model_with_pwl_costs_15,0.001112222671508789,5,10
16,model_with_pwl_costs_16,0.0011184215545654297,5,10
17,model_with_pwl_costs_17,0.001125335693359375,5,10
18,model_with_pwl_costs_18,0.0011620521545410156,5,10
19,model_with_pwl_costs_19,0.001132965087890625,5,10
20,model_with_pwl_costs_20,0.0011391639709472656,5,10
21,model_with_pwl_costs_21,0.0011432170867919922,5,10
22,model_with_pwl_costs_22,0.0011491775512695312,5,10
23,model_with_pwl_costs_23,0.0011625289916992188,5,10
24,model_with_pwl_costs_24,0.001168966293334961,5,10
0,model_with_separate_variables_0,0.0022339820861816406,20,10
1,model_with_separate_variables_1,0.002525806427001953,20,10
2,model_with_separate_variables_2,0.002805948257446289,20,10
3,model_with_separate_variables_3,0.003165006637573242,20,10
4,model_with_separate_variables_4,0.0034151077270507812,20,10
5,model_with_separate_variables_5,0.003945827484130859,20,10
6,model_with_separate_variables_6,0.004260063171386719,20,10
7,model_with_separate_variables_7,0.0045359134674072266,20,10
8,model_with_separate_variables_8,0.0046999454498291016,20,10
9,model_with_separate_variables_9,0.005117177963256836,20,10
10,model_with_separate_variables_10,0.005307197570800781,20,10
11,model_with_separate_variables_11,0.005797863006591797,20,10
12,model_with_separate_variables_12,0.00611114501953125,20,10
13,model_with_separate_variables_13,0.006558895111083984,20,10
14,model_with_separate_variables_14,0.006573915481567383,20,10
15,model_with_separate_variables_15,0.007063150405883789,20,10
16,model_with_separate_variables_16,0.007328033447265625,20,10
17,model_with_separate_variables_17,0.0076160430908203125,20,10
18,model_with_separate_variables_18,0.008133888244628906,20,10
19,model_with_separate_variables_19,0.008289098739624023,20,10
20,model_with_separate_variables_20,0.008699178695678711,20,10
21,model_with_separate_variables_21,0.009063243865966797,20,10
22,model_with_separate_variables_22,0.009449005126953125,20,10
23,model_with_separate_variables_23,0.009723901748657227,20,10
24,model_with_separate_variables_24,0.010028839111328125,20,10
0,model_with_pwl_costs_0,0.0014500617980957031,20,10
1,model_with_pwl_costs_1,0.0014111995697021484,20,10
2,model_with_pwl_costs_2,0.0014312267303466797,20,10
3,model_with_pwl_costs_3,0.0014462471008300781,20,10
4,model_with_pwl_costs_4,0.001462697982788086,20,10
5,model_with_pwl_costs_5,0.001483917236328125,20,10
6,model_with_pwl_costs_6,0.0015208721160888672,20,10
7,model_with_pwl_costs_7,0.0015358924865722656,20,10
8,model_with_pwl_costs_8,0.0015861988067626953,20,10
9,model_with_pwl_costs_9,0.0015730857849121094,20,10
10,model_with_pwl_costs_10,0.0015859603881835938,20,10
11,model_with_pwl_costs_11,0.0016050338745117188,20,10
12,model_with_pwl_costs_12,0.0016241073608398438,20,10
13,model_with_pwl_costs_13,0.001651763916015625,20,10
14,model_with_pwl_costs_14,0.00167083740234375,20,10
15,model_with_pwl_costs_15,0.0016870498657226562,20,10
16,model_with_pwl_costs_16,0.0017018318176269531,20,10
17,model_with_pwl_costs_17,0.0018339157104492188,20,10
18,model_with_pwl_costs_18,0.0017938613891601562,20,10
19,model_with_pwl_costs_19,0.0017688274383544922,20,10
20,model_with_pwl_costs_20,0.0017852783203125,20,10
21,model_with_pwl_costs_21,0.0018002986907958984,20,10
22,model_with_pwl_costs_22,0.0018134117126464844,20,10
23,model_with_pwl_costs_23,0.001825094223022461,20,10
24,model_with_pwl_costs_24,0.0018448829650878906,20,10
0,model_with_separate_variables_0,0.004259824752807617,50,10
1,model_with_separate_variables_1,0.0047948360443115234,50,10
2,model_with_separate_variables_2,0.005650758743286133,50,10
3,model_with_separate_variables_3,0.0064640045166015625,50,10
4,model_with_separate_variables_4,0.007164955139160156,50,10
5,model_with_separate_variables_5,0.00851893424987793,50,10
6,model_with_separate_variables_6,0.008881092071533203,50,10
7,model_with_separate_variables_7,0.009657621383666992,50,10
8,model_with_separate_variables_8,0.010213851928710938,50,10
9,model_with_separate_variables_9,0.011265993118286133,50,10
10,model_with_separate_variables_10,0.011999845504760742,50,10
11,model_with_separate_variables_11,0.02024984359741211,50,10
12,model_with_separate_variables_12,0.013921976089477539,50,10
13,model_with_separate_variables_13,0.014836788177490234,50,10
14,model_with_separate_variables_14,0.015556812286376953,50,10
15,model_with_separate_variables_15,0.016731977462768555,50,10
16,model_with_separate_variables_16,0.017702102661132812,50,10
17,model_with_separate_variables_17,0.01854395866394043,50,10
18,model_with_separate_variables_18,0.01915287971496582,50,10
19,model_with_separate_variables_19,0.019716739654541016,50,10
20,model_with_separate_variables_20,0.021301984786987305,50,10
21,model_with_separate_variables_21,0.021532058715820312,50,10
22,model_with_separate_variables_22,0.022914648056030273,50,10
23,model_with_separate_variables_23,0.03234291076660156,50,10
24,model_with_separate_variables_24,0.024612903594970703,50,10
0,model_with_pwl_costs_0,0.002274036407470703,50,10
1,model_with_pwl_costs_1,0.002106904983520508,50,10
2,model_with_pwl_costs_2,0.0021500587463378906,50,10
3,model_with_pwl_costs_3,0.002198934555053711,50,10
4,model_with_pwl_costs_4,0.0022470951080322266,50,10
5,model_with_pwl_costs_5,0.0022847652435302734,50,10
6,model_with_pwl_costs_6,0.002331972122192383,50,10
7,model_with_pwl_costs_7,0.002390623092651367,50,10
8,model_with_pwl_costs_8,0.0024149417877197266,50,10
9,model_with_pwl_costs_9,0.002456188201904297,50,10
10,model_with_pwl_costs_10,0.0025207996368408203,50,10
11,model_with_pwl_costs_11,0.002614736557006836,50,10
12,model_with_pwl_costs_12,0.0027337074279785156,50,10
13,model_with_pwl_costs_13,0.002682924270629883,50,10
14,model_with_pwl_costs_14,0.002692699432373047,50,10
15,model_with_pwl_costs_15,0.0027437210083007812,50,10
16,model_with_pwl_costs_16,0.0027747154235839844,50,10
17,model_with_pwl_costs_17,0.0028400421142578125,50,10
18,model_with_pwl_costs_18,0.0028908252716064453,50,10
19,model_with_pwl_costs_19,0.0029129981994628906,50,10
20,model_with_pwl_costs_20,0.0031027793884277344,50,10
21,model_with_pwl_costs_21,0.00310516357421875,50,10
22,model_with_pwl_costs_22,0.0030946731567382812,50,10
23,model_with_pwl_costs_23,0.00337982177734375,50,10
24,model_with_pwl_costs_24,0.003165006637573242,50,10
0,model_with_separate_variables_0,0.007487058639526367,100,10
1,model_with_separate_variables_1,0.009092092514038086,100,10
2,model_with_separate_variables_2,0.01076817512512207,100,10
3,model_with_separate_variables_3,0.012151241302490234,100,10
4,model_with_separate_variables_4,0.014242172241210938,100,10
5,model_with_separate_variables_5,0.01586318016052246,100,10
6,model_with_separate_variables_6,0.017448902130126953,100,10
7,model_with_separate_variables_7,0.019397974014282227,100,10
8,model_with_separate_variables_8,0.020779132843017578,100,10
9,model_with_separate_variables_9,0.022431373596191406,100,10
10,model_with_separate_variables_10,0.0241851806640625,100,10
11,model_with_separate_variables_11,0.03462100028991699,100,10
12,model_with_separate_variables_12,0.02728128433227539,100,10
13,model_with_separate_variables_13,0.02912139892578125,100,10
14,model_with_separate_variables_14,0.030791282653808594,100,10
15,model_with_separate_variables_15,0.03297615051269531,100,10
16,model_with_separate_variables_16,0.03430294990539551,100,10
17,model_with_separate_variables_17,0.03628897666931152,100,10
18,model_with_separate_variables_18,0.04829144477844238,100,10
19,model_with_separate_variables_19,0.03954505920410156,100,10
20,model_with_separate_variables_20,0.04203915596008301,100,10
21,model_with_separate_variables_21,0.04330325126647949,100,10
22,model_with_separate_variables_22,0.04482722282409668,100,10
23,model_with_separate_variables_23,0.05813288688659668,100,10
24,model_with_separate_variables_24,0.04843926429748535,100,10
0,model_with_pwl_costs_0,0.0032334327697753906,100,10
1,model_with_pwl_costs_1,0.0032503604888916016,100,10
2,model_with_pwl_costs_2,0.003347158432006836,100,10
3,model_with_pwl_costs_3,0.0034589767456054688,100,10
4,model_with_pwl_costs_4,0.0036153793334960938,100,10
5,model_with_pwl_costs_5,0.003773212432861328,100,10
6,model_with_pwl_costs_6,0.0037560462951660156,100,10
7,model_with_pwl_costs_7,0.003815174102783203,100,10
8,model_with_pwl_costs_8,0.004086017608642578,100,10
9,model_with_pwl_costs_9,0.003985404968261719,100,10
10,model_with_pwl_costs_10,0.004136085510253906,100,10
11,model_with_pwl_costs_11,0.004213094711303711,100,10
12,model_with_pwl_costs_12,0.004346132278442383,100,10
13,model_with_pwl_costs_13,0.004437446594238281,100,10
14,model_with_pwl_costs_14,0.004435300827026367,100,10
15,model_with_pwl_costs_15,0.00471806526184082,100,10
16,model_with_pwl_costs_16,0.004735469818115234,100,10
17,model_with_pwl_costs_17,0.0047740936279296875,100,10
18,model_with_pwl_costs_18,0.0049211978912353516,100,10
19,model_with_pwl_costs_19,0.00499415397644043,100,10
20,model_with_pwl_costs_20,0.005064249038696289,100,10
21,model_with_pwl_costs_21,0.005187034606933594,100,10
22,model_with_pwl_costs_22,0.005315303802490234,100,10
23,model_with_pwl_costs_23,0.005550384521484375,100,10
24,model_with_pwl_costs_24,0.005446910858154297,100,10
