model number,model name,time taken to optimise (in seconds),number of partitions,partition size,time taken to build model (in seconds)
22,model_with_pwl_costs_22,0.0011761188507080078,500,5,0.02099704742431641
23,model_with_pwl_costs_23,0.0011441707611083984,500,5,0.021360158920288086
24,model_with_pwl_costs_24,0.0011899471282958984,500,5,0.021405935287475586
0,model_with_separate_variables_0,0.0003859996795654297,5,10,0.001383066177368164
1,model_with_separate_variables_1,0.00011491775512695312,5,10,0.0013921260833740234
2,model_with_separate_variables_2,0.00010085105895996094,5,10,0.0014600753784179688
3,model_with_separate_variables_3,0.00010013580322265624,5,10,0.0015232563018798828
4,model_with_separate_variables_4,0.00010013580322265624,5,10,0.0016412734985351562
5,model_with_separate_variables_5,9.894371032714844e-05,5,10,0.001638174057006836
6,model_with_separate_variables_6,9.918212890625e-05,5,10,0.0017712116241455078
7,model_with_separate_variables_7,9.918212890625e-05,5,10,0.0017971992492675781
8,model_with_separate_variables_8,0.00010085105895996094,5,10,0.001865386962890625
9,model_with_separate_variables_9,0.00010275840759277344,5,10,0.0020711421966552734
10,model_with_separate_variables_10,0.0001018047332763672,5,10,0.0021452903747558594
11,model_with_separate_variables_11,0.00010085105895996094,5,10,0.0021402835845947266
12,model_with_separate_variables_12,9.703636169433594e-05,5,10,0.0022172927856445312
13,model_with_separate_variables_13,0.00010085105895996094,5,10,0.002284049987792969
14,model_with_separate_variables_14,9.703636169433594e-05,5,10,0.0023593902587890625
15,model_with_separate_variables_15,9.679794311523438e-05,5,10,0.0028662681579589844
16,model_with_separate_variables_16,9.608268737792967e-05,5,10,0.002585887908935547
17,model_with_separate_variables_17,9.703636169433594e-05,5,10,0.0027780532836914067
18,model_with_separate_variables_18,0.00010013580322265624,5,10,0.0028390884399414067
19,model_with_separate_variables_19,9.703636169433594e-05,5,10,0.0027692317962646484
20,model_with_separate_variables_20,9.703636169433594e-05,5,10,0.002848386764526367
21,model_with_separate_variables_21,0.00014591217041015625,5,10,0.002945423126220703
22,model_with_separate_variables_22,9.79900360107422e-05,5,10,0.003053188323974609
23,model_with_separate_variables_23,9.703636169433594e-05,5,10,0.0032019615173339844
24,model_with_separate_variables_24,0.00010013580322265624,5,10,0.003226041793823242
0,model_with_pwl_costs_0,0.00010704994201660156,5,10,0.001070261001586914
1,model_with_pwl_costs_1,9.918212890625e-05,5,10,0.0011222362518310547
2,model_with_pwl_costs_2,9.608268737792967e-05,5,10,0.0011239051818847656
3,model_with_pwl_costs_3,9.512901306152344e-05,5,10,0.0010993480682373047
4,model_with_pwl_costs_4,9.512901306152344e-05,5,10,0.0011072158813476562
5,model_with_pwl_costs_5,9.608268737792967e-05,5,10,0.001110076904296875
6,model_with_pwl_costs_6,9.489059448242188e-05,5,10,0.0010843276977539062
7,model_with_pwl_costs_7,9.298324584960938e-05,5,10,0.0011200904846191406
8,model_with_pwl_costs_8,9.322166442871094e-05,5,10,0.0011560916900634766
9,model_with_pwl_costs_9,9.608268737792967e-05,5,10,0.00115203857421875
10,model_with_pwl_costs_10,9.584426879882812e-05,5,10,0.0011279582977294922
11,model_with_pwl_costs_11,9.489059448242188e-05,5,10,0.0011513233184814453
12,model_with_pwl_costs_12,9.322166442871094e-05,5,10,0.0011091232299804688
13,model_with_pwl_costs_13,9.512901306152344e-05,5,10,0.001100301742553711
14,model_with_pwl_costs_14,9.012222290039062e-05,5,10,0.0011050701141357422
15,model_with_pwl_costs_15,9.179115295410156e-05,5,10,0.001112222671508789
16,model_with_pwl_costs_16,9.202957153320312e-05,5,10,0.0011184215545654297
17,model_with_pwl_costs_17,9.083747863769533e-05,5,10,0.001125335693359375
18,model_with_pwl_costs_18,9.703636169433594e-05,5,10,0.0011620521545410154
19,model_with_pwl_costs_19,9.41753387451172e-05,5,10,0.001132965087890625
20,model_with_pwl_costs_20,9.322166442871094e-05,5,10,0.0011391639709472654
21,model_with_pwl_costs_21,9.703636169433594e-05,5,10,0.0011432170867919922
22,model_with_pwl_costs_22,9.489059448242188e-05,5,10,0.0011491775512695312
23,model_with_pwl_costs_23,9.202957153320312e-05,5,10,0.0011625289916992188
24,model_with_pwl_costs_24,9.489059448242188e-05,5,10,0.001168966293334961
0,model_with_separate_variables_0,0.00027513504028320307,20,10,0.0022339820861816406
1,model_with_separate_variables_1,0.0002372264862060547,20,10,0.002525806427001953
2,model_with_separate_variables_2,0.00022411346435546875,20,10,0.002805948257446289
3,model_with_separate_variables_3,0.00023794174194335938,20,10,0.003165006637573242
4,model_with_separate_variables_4,0.0002200603485107422,20,10,0.003415107727050781
5,model_with_separate_variables_5,0.00022101402282714844,20,10,0.003945827484130859
6,model_with_separate_variables_6,0.0002040863037109375,20,10,0.004260063171386719
7,model_with_separate_variables_7,0.00021910667419433596,20,10,0.004535913467407226
8,model_with_separate_variables_8,0.0002110004425048828,20,10,0.004699945449829102
9,model_with_separate_variables_9,0.0002000331878662109,20,10,0.005117177963256836
10,model_with_separate_variables_10,0.0002090930938720703,20,10,0.005307197570800781
11,model_with_separate_variables_11,0.00020503997802734372,20,10,0.005797863006591797
12,model_with_separate_variables_12,0.000202178955078125,20,10,0.00611114501953125
13,model_with_separate_variables_13,0.00021409988403320312,20,10,0.006558895111083984
14,model_with_separate_variables_14,0.00021004676818847656,20,10,0.006573915481567383
15,model_with_separate_variables_15,0.00021004676818847656,20,10,0.007063150405883789
